Date,Visits
03-01-2016,6
04-01-2016,19
05-01-2016,20
06-01-2016,19
07-01-2016,22
08-01-2016,30
09-01-2016,14
10-01-2016,16
11-01-2016,22
12-01-2016,15
13-01-2016,15
14-01-2016,26
15-01-2016,16
16-01-2016,13
17-01-2016,27
18-01-2016,18
19-01-2016,13
20-01-2016,32
21-01-2016,31
22-01-2016,16
23-01-2016,38
24-01-2016,18
25-01-2016,9
26-01-2016,14
27-01-2016,10
28-01-2016,24
29-01-2016,8
30-01-2016,15
31-01-2016,18
01-02-2016,10
02-02-2016,23
03-02-2016,17
04-02-2016,11
05-02-2016,26
06-02-2016,14
07-02-2016,8
08-02-2016,12
09-02-2016,9
10-02-2016,11
11-02-2016,34
12-02-2016,17
13-02-2016,29
14-02-2016,11
15-02-2016,9
16-02-2016,14
17-02-2016,21
18-02-2016,12
19-02-2016,11
20-02-2016,13
21-02-2016,11
22-02-2016,13
23-02-2016,16
24-02-2016,13
25-02-2016,19
26-02-2016,21
27-02-2016,14
28-02-2016,11
29-02-2016,35
01-03-2016,18
02-03-2016,42
03-03-2016,15
04-03-2016,5
05-03-2016,21
06-03-2016,56
07-03-2016,9
08-03-2016,20
09-03-2016,17
10-03-2016,18
11-03-2016,8
12-03-2016,9
13-03-2016,17
14-03-2016,9
15-03-2016,10
16-03-2016,14
17-03-2016,17
18-03-2016,6
19-03-2016,18
20-03-2016,13
21-03-2016,11
22-03-2016,12
23-03-2016,11
24-03-2016,8
25-03-2016,15
26-03-2016,11
27-03-2016,20
28-03-2016,59
29-03-2016,11
30-03-2016,18
31-03-2016,17
01-04-2016,12
02-04-2016,14
03-04-2016,13
04-04-2016,9
05-04-2016,490
06-04-2016,189
07-04-2016,102
08-04-2016,38
09-04-2016,126
10-04-2016,71
11-04-2016,21
12-04-2016,57
13-04-2016,79
14-04-2016,17
15-04-2016,17
16-04-2016,23
17-04-2016,16
18-04-2016,23
19-04-2016,18
20-04-2016,22
21-04-2016,44
22-04-2016,6
23-04-2016,31
24-04-2016,17
25-04-2016,25
26-04-2016,40
27-04-2016,19
28-04-2016,15
29-04-2016,15
30-04-2016,29
01-05-2016,18
02-05-2016,16
03-05-2016,13
04-05-2016,20
05-05-2016,22
06-05-2016,19
07-05-2016,11
08-05-2016,50
09-05-2016,22
10-05-2016,39
11-05-2016,23
12-05-2016,21
13-05-2016,23
14-05-2016,22
15-05-2016,16
16-05-2016,19
17-05-2016,35
18-05-2016,16
19-05-2016,12
20-05-2016,15
21-05-2016,13
22-05-2016,14
23-05-2016,10
24-05-2016,21
25-05-2016,20
26-05-2016,19
27-05-2016,14
28-05-2016,12
29-05-2016,15
30-05-2016,17
31-05-2016,16
01-06-2016,21
02-06-2016,27
03-06-2016,13
04-06-2016,11
05-06-2016,15
06-06-2016,14
07-06-2016,18
08-06-2016,18
09-06-2016,10
10-06-2016,11
11-06-2016,14
12-06-2016,18
13-06-2016,14
14-06-2016,13
15-06-2016,17
16-06-2016,15
17-06-2016,14
18-06-2016,234
19-06-2016,8
20-06-2016,62
21-06-2016,26
22-06-2016,22
23-06-2016,8
24-06-2016,22
25-06-2016,15
26-06-2016,69
27-06-2016,11
28-06-2016,18
29-06-2016,23
30-06-2016,12
01-07-2016,20
02-07-2016,17
03-07-2016,15
04-07-2016,16
05-07-2016,18
06-07-2016,21
07-07-2016,15
08-07-2016,30
09-07-2016,115
10-07-2016,56
11-07-2016,45
12-07-2016,17
13-07-2016,18
14-07-2016,15
15-07-2016,18
16-07-2016,14
17-07-2016,15
18-07-2016,15
19-07-2016,24
20-07-2016,22
21-07-2016,18
22-07-2016,30
23-07-2016,12
24-07-2016,13
25-07-2016,18
26-07-2016,17
27-07-2016,31
28-07-2016,26
29-07-2016,29
30-07-2016,12
31-07-2016,19
01-08-2016,19
02-08-2016,57
03-08-2016,17
04-08-2016,20
05-08-2016,49
06-08-2016,10
07-08-2016,19
08-08-2016,26
09-08-2016,41
10-08-2016,23
11-08-2016,30
12-08-2016,55
13-08-2016,17
14-08-2016,24
15-08-2016,14
16-08-2016,12
17-08-2016,49
18-08-2016,42
19-08-2016,37
20-08-2016,13
21-08-2016,30
22-08-2016,20
23-08-2016,33
24-08-2016,20
25-08-2016,14
26-08-2016,40
27-08-2016,15
28-08-2016,18
29-08-2016,26
30-08-2016,8
31-08-2016,25
01-09-2016,21
02-09-2016,20
03-09-2016,25
04-09-2016,19
05-09-2016,23
06-09-2016,18
07-09-2016,19
08-09-2016,18
09-09-2016,55
10-09-2016,16
11-09-2016,65
12-09-2016,11
13-09-2016,11
14-09-2016,13
15-09-2016,20
16-09-2016,21
17-09-2016,13
18-09-2016,24
19-09-2016,20
20-09-2016,13
21-09-2016,32
22-09-2016,16
23-09-2016,10
24-09-2016,13
25-09-2016,44
26-09-2016,17
27-09-2016,13
28-09-2016,72
29-09-2016,40
30-09-2016,19
01-10-2016,14
02-10-2016,13
03-10-2016,12
04-10-2016,14
05-10-2016,10
06-10-2016,26
07-10-2016,13
08-10-2016,22
09-10-2016,14
10-10-2016,23
11-10-2016,12
12-10-2016,8
13-10-2016,50
14-10-2016,13
15-10-2016,10
16-10-2016,16
17-10-2016,14
18-10-2016,10
19-10-2016,24
20-10-2016,10
21-10-2016,20
22-10-2016,10
23-10-2016,26
24-10-2016,25
25-10-2016,16
26-10-2016,19
27-10-2016,20
28-10-2016,12
29-10-2016,19
30-10-2016,50
31-10-2016,16
01-11-2016,30
02-11-2016,18
03-11-2016,25
04-11-2016,14
05-11-2016,20
06-11-2016,8
07-11-2016,67
08-11-2016,13
09-11-2016,41
10-11-2016,10
11-11-2016,21
12-11-2016,13
13-11-2016,8
14-11-2016,15
15-11-2016,14
16-11-2016,12
17-11-2016,6
18-11-2016,11
19-11-2016,10
20-11-2016,42
21-11-2016,21
22-11-2016,24
23-11-2016,14
24-11-2016,11
25-11-2016,204
26-11-2016,14
27-11-2016,45
28-11-2016,33
29-11-2016,28
30-11-2016,18
01-12-2016,14
02-12-2016,47
03-12-2016,15
04-12-2016,14
05-12-2016,18
06-12-2016,20
07-12-2016,14
08-12-2016,16
09-12-2016,14
10-12-2016,20
11-12-2016,60
12-12-2016,22
13-12-2016,15
14-12-2016,17
15-12-2016,19
16-12-2016,18
17-12-2016,21
18-12-2016,21
19-12-2016,47
20-12-2016,65
21-12-2016,17
22-12-2016,32
23-12-2016,63
24-12-2016,15
25-12-2016,26
26-12-2016,14
27-12-2016,20
28-12-2016,22
29-12-2016,19
30-12-2016,18
31-12-2016,20
